CustomerID,Lookalikes
C0001,"[('C0056', 0.9999032905548094), ('C0026', 0.9998778369950359), ('C0070', 0.9998272325711514)]"
C0002,"[('C0157', 0.9999993246438165), ('C0029', 0.9999775841124852), ('C0031', 0.9999233119821657)]"
C0003,"[('C0160', 0.9998665422083316), ('C0147', 0.9998366767426222), ('C0189', 0.9997824161325527)]"
C0004,"[('C0113', 0.9993252185819562), ('C0045', 0.9990871843624123), ('C0068', 0.9988576572421246)]"
C0005,"[('C0131', 0.9999679202164057), ('C0185', 0.9997067771613266), ('C0159', 0.9995739738714695)]"
C0006,"[('C0079', 0.9999982910794836), ('C0117', 0.9998805572485355), ('C0048', 0.9995692615176859)]"
C0007,"[('C0146', 0.9999996979493199), ('C0167', 0.9997071218510464), ('C0089', 0.9995840192330049)]"
C0008,"[('C0084', 0.9999277021851289), ('C0169', 0.9998284121984665), ('C0136', 0.9997769137090455)]"
C0009,"[('C0020', 0.9999971210663279), ('C0197', 0.9999946479626796), ('C0080', 0.9999472169549015)]"
C0010,"[('C0019', 0.9987568392889206), ('C0176', 0.9986387186256048), ('C0142', 0.9985573482431074)]"
C0011,"[('C0139', 0.9999978527794039), ('C0064', 0.9997086086072939), ('C0193', 0.9996539553931917)]"
C0012,"[('C0093', 0.999990531627197), ('C0053', 0.9997105155823736), ('C0101', 0.9996446514967017)]"
C0013,"[('C0114', 0.9998934584196342), ('C0163', 0.9995738387464912), ('C0138', 0.9995434155802481)]"
C0014,"[('C0033', 0.9998488761777247), ('C0060', 0.999756105345388), ('C0150', 0.9997017527066715)]"
C0015,"[('C0110', 0.9998037367904354), ('C0123', 0.999752792561734), ('C0095', 0.9994745901915187)]"
C0016,"[('C0040', 0.9999714001104423), ('C0066', 0.9996256371217962), ('C0158', 0.9995795840117693)]"
C0017,"[('C0113', 0.9997961060040821), ('C0162', 0.9997528542410639), ('C0169', 0.9997257664231468)]"
C0018,"[('C0153', 0.9997474702299382), ('C0181', 0.9995773281255221), ('C0122', 0.9994364607252162)]"
C0019,"[('C0142', 0.999989690921502), ('C0076', 0.99992134453821), ('C0166', 0.9998255916120035)]"
C0020,"[('C0197', 0.9999996196742105), ('C0009', 0.9999971210663279), ('C0080', 0.9999689921510976)]"
